,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6498205685E-08,-9.6498205685E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:58,08:31:58
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.39857E-08, -5.8141E-02, -7.168E-02
-9.39732E-08, -5.8099E-02, -7.158E-02
-9.39607E-08, -5.8046E-02, -7.147E-02
-9.39482E-08, -5.8004E-02, -7.142E-02
-9.39357E-08, -5.7972E-02, -7.132E-02
-9.39232E-08, -5.7909E-02, -7.121E-02
-9.39107E-08, -5.7877E-02, -7.116E-02
-9.38982E-08, -5.7856E-02, -7.111E-02
-9.38857E-08, -5.7814E-02, -7.100E-02
-9.38732E-08, -5.7782E-02, -7.105E-02
-9.38607E-08, -5.7772E-02, -7.100E-02
-9.38482E-08, -5.7761E-02, -7.105E-02
-9.38357E-08, -5.7730E-02, -7.100E-02
-9.38232E-08, -5.7719E-02, -7.089E-02
-9.38107E-08, -5.7709E-02, -7.095E-02
-9.37982E-08, -5.7719E-02, -7.095E-02
-9.37857E-08, -5.7719E-02, -7.089E-02
-9.37732E-08, -5.7719E-02, -7.089E-02
-9.37607E-08, -5.7740E-02, -7.089E-02
-9.37482E-08, -5.7761E-02, -7.095E-02
-9.37357E-08, -5.7761E-02, -7.089E-02
-9.37232E-08, -5.7782E-02, -7.100E-02
-9.37107E-08, -5.7803E-02, -7.100E-02
-9.36982E-08, -5.7825E-02, -7.100E-02
-9.36857E-08, -5.7867E-02, -7.111E-02
-9.36732E-08, -5.7888E-02, -7.116E-02
-9.36607E-08, -5.7909E-02, -7.116E-02
-9.36482E-08, -5.7940E-02, -7.132E-02
-9.36357E-08, -5.7962E-02, -7.126E-02
-9.36232E-08, -5.7983E-02, -7.121E-02
-9.36107E-08, -5.8014E-02, -7.132E-02
-9.35982E-08, -5.8014E-02, -7.137E-02
-9.35857E-08, -5.8014E-02, -7.147E-02
-9.35732E-08, -5.8014E-02, -7.142E-02
-9.35607E-08, -5.8035E-02, -7.142E-02
-9.35482E-08, -5.8025E-02, -7.147E-02
-9.35357E-08, -5.8025E-02, -7.158E-02
-9.35232E-08, -5.8014E-02, -7.163E-02
-9.35107E-08, -5.8004E-02, -7.163E-02
-9.34982E-08, -5.7993E-02, -7.163E-02
-9.34857E-08, -5.7993E-02, -7.168E-02
-9.34732E-08, -5.7940E-02, -7.179E-02
-9.34607E-08, -5.7919E-02, -7.184E-02
-9.34482E-08, -5.7898E-02, -7.190E-02
-9.34357E-08, -5.7877E-02, -7.190E-02
-9.34232E-08, -5.7846E-02, -7.195E-02
-9.34107E-08, -5.7835E-02, -7.195E-02
-9.33982E-08, -5.7793E-02, -7.211E-02
-9.33857E-08, -5.7782E-02, -7.211E-02
-9.33732E-08, -5.7751E-02, -7.205E-02
-9.33607E-08, -5.7719E-02, -7.216E-02
-9.33482E-08, -5.7698E-02, -7.221E-02
-9.33357E-08, -5.7698E-02, -7.226E-02
-9.33232E-08, -5.7677E-02, -7.221E-02
-9.33107E-08, -5.7688E-02, -7.216E-02
-9.32982E-08, -5.7656E-02, -7.216E-02
-9.32857E-08, -5.7677E-02, -7.216E-02
-9.32732E-08, -5.7666E-02, -7.216E-02
-9.32607E-08, -5.7677E-02, -7.216E-02
-9.32482E-08, -5.7719E-02, -7.211E-02
-9.32357E-08, -5.7709E-02, -7.205E-02
-9.32232E-08, -5.7740E-02, -7.190E-02
-9.32107E-08, -5.7782E-02, -7.190E-02
-9.31982E-08, -5.7793E-02, -7.184E-02
-9.31857E-08, -5.7803E-02, -7.174E-02
-9.31732E-08, -5.7835E-02, -7.163E-02
-9.31607E-08, -5.7888E-02, -7.153E-02
-9.31482E-08, -5.7909E-02, -7.142E-02
-9.31357E-08, -5.7962E-02, -7.137E-02
-9.31232E-08, -5.7983E-02, -7.121E-02
-9.31107E-08, -5.7993E-02, -7.095E-02
-9.30982E-08, -5.8025E-02, -7.089E-02
-9.30857E-08, -5.8067E-02, -7.068E-02
-9.30732E-08, -5.8088E-02, -7.053E-02
-9.30607E-08, -5.8099E-02, -7.047E-02
-9.30482E-08, -5.8141E-02, -7.031E-02
-9.30357E-08, -5.8151E-02, -7.016E-02
-9.30232E-08, -5.8151E-02, -7.000E-02
-9.30107E-08, -5.8162E-02, -6.979E-02
-9.29982E-08, -5.8162E-02, -6.974E-02
-9.29857E-08, -5.8162E-02, -6.947E-02
-9.29732E-08, -5.8162E-02, -6.942E-02
-9.29607E-08, -5.8172E-02, -6.937E-02
-9.29482E-08, -5.8162E-02, -6.921E-02
-9.29357E-08, -5.8141E-02, -6.916E-02
-9.29232E-08, -5.8109E-02, -6.905E-02
-9.29107E-08, -5.8088E-02, -6.894E-02
-9.28982E-08, -5.8067E-02, -6.894E-02
-9.28857E-08, -5.8035E-02, -6.889E-02
-9.28732E-08, -5.8014E-02, -6.889E-02
-9.28607E-08, -5.7993E-02, -6.879E-02
-9.28482E-08, -5.7962E-02, -6.884E-02
-9.28357E-08, -5.7940E-02, -6.879E-02
-9.28232E-08, -5.7898E-02, -6.879E-02
-9.28107E-08, -5.7867E-02, -6.879E-02
-9.27982E-08, -5.7835E-02, -6.884E-02
-9.27857E-08, -5.7825E-02, -6.879E-02
-9.27732E-08, -5.7782E-02, -6.879E-02
-9.27607E-08, -5.7761E-02, -6.889E-02
-9.27482E-08, -5.7751E-02, -6.894E-02
-9.27357E-08, -5.7709E-02, -6.894E-02
-9.27232E-08, -5.7698E-02, -6.900E-02
-9.27107E-08, -5.7677E-02, -6.900E-02
-9.26982E-08, -5.7666E-02, -6.894E-02
-9.26857E-08, -5.7656E-02, -6.905E-02
-9.26732E-08, -5.7656E-02, -6.921E-02
-9.26607E-08, -5.7624E-02, -6.921E-02
-9.26482E-08, -5.7624E-02, -6.921E-02
-9.26357E-08, -5.7614E-02, -6.926E-02
-9.26232E-08, -5.7603E-02, -6.926E-02
-9.26107E-08, -5.7603E-02, -6.916E-02
-9.25982E-08, -5.7624E-02, -6.926E-02
-9.25857E-08, -5.7624E-02, -6.921E-02
-9.25732E-08, -5.7614E-02, -6.916E-02
-9.25607E-08, -5.7614E-02, -6.905E-02
-9.25482E-08, -5.7645E-02, -6.921E-02
-9.25357E-08, -5.7645E-02, -6.910E-02
-9.25232E-08, -5.7656E-02, -6.905E-02
-9.25107E-08, -5.7656E-02, -6.905E-02
-9.24982E-08, -5.7666E-02, -6.894E-02
-9.24857E-08, -5.7677E-02, -6.894E-02
-9.24732E-08, -5.7698E-02, -6.894E-02
-9.24607E-08, -5.7730E-02, -6.884E-02
-9.24482E-08, -5.7730E-02, -6.889E-02
-9.24357E-08, -5.7740E-02, -6.879E-02
-9.24232E-08, -5.7751E-02, -6.873E-02
-9.24107E-08, -5.7782E-02, -6.868E-02
-9.23982E-08, -5.7782E-02, -6.868E-02
-9.23857E-08, -5.7803E-02, -6.863E-02
-9.23732E-08, -5.7803E-02, -6.863E-02
-9.23607E-08, -5.7814E-02, -6.852E-02
-9.23482E-08, -5.7835E-02, -6.858E-02
-9.23357E-08, -5.7835E-02, -6.842E-02
-9.23232E-08, -5.7846E-02, -6.847E-02
-9.23107E-08, -5.7867E-02, -6.842E-02
-9.22982E-08, -5.7867E-02, -6.842E-02
-9.22857E-08, -5.7867E-02, -6.847E-02
-9.22732E-08, -5.7867E-02, -6.847E-02
-9.22607E-08, -5.7856E-02, -6.842E-02
-9.22482E-08, -5.7877E-02, -6.847E-02
-9.22357E-08, -5.7867E-02, -6.847E-02
-9.22232E-08, -5.7846E-02, -6.842E-02
-9.22107E-08, -5.7846E-02, -6.842E-02
-9.21982E-08, -5.7825E-02, -6.847E-02
-9.21857E-08, -5.7814E-02, -6.847E-02
-9.21732E-08, -5.7803E-02, -6.847E-02
-9.21607E-08, -5.7782E-02, -6.858E-02
-9.21482E-08, -5.7772E-02, -6.858E-02
-9.21357E-08, -5.7740E-02, -6.863E-02
-9.21232E-08, -5.7730E-02, -6.863E-02
-9.21107E-08, -5.7709E-02, -6.873E-02
-9.20982E-08, -5.7677E-02, -6.879E-02
-9.20857E-08, -5.7666E-02, -6.884E-02
-9.20732E-08, -5.7656E-02, -6.889E-02
-9.20607E-08, -5.7645E-02, -6.894E-02
-9.20482E-08, -5.7624E-02, -6.916E-02
-9.20357E-08, -5.7593E-02, -6.921E-02
-9.20232E-08, -5.7582E-02, -6.926E-02
-9.20107E-08, -5.7603E-02, -6.937E-02
-9.19982E-08, -5.7603E-02, -6.952E-02
-9.19857E-08, -5.7582E-02, -6.963E-02
-9.19732E-08, -5.7593E-02, -6.979E-02
-9.19607E-08, -5.7593E-02, -6.995E-02
-9.19482E-08, -5.7614E-02, -7.016E-02
-9.19357E-08, -5.7645E-02, -7.031E-02
-9.19232E-08, -5.7656E-02, -7.047E-02
-9.19107E-08, -5.7677E-02, -7.079E-02
-9.18982E-08, -5.7709E-02, -7.084E-02
-9.18857E-08, -5.7730E-02, -7.111E-02
-9.18732E-08, -5.7782E-02, -7.132E-02
-9.18607E-08, -5.7803E-02, -7.153E-02
-9.18482E-08, -5.7867E-02, -7.179E-02
-9.18357E-08, -5.7898E-02, -7.195E-02
-9.18232E-08, -5.7940E-02, -7.216E-02
