,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6483301777E-08,-9.6483301777E-08
Units:              ,second,second
YDispRange:         ,8.00000E-02,8.00000E-01
YDispOrg:           ,0.0E+00,2.91999995708466E-01
YInc:               ,1.317319629379E-06,1.3173196748539E-05
YOrg:               ,1.16459288484805E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:30:14,08:30:14
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.44833E-08, -1.7136E-02, -4.344E-02
-9.44708E-08, -1.7151E-02, -4.349E-02
-9.44583E-08, -1.7178E-02, -4.344E-02
-9.44458E-08, -1.7199E-02, -4.339E-02
-9.44333E-08, -1.7220E-02, -4.349E-02
-9.44208E-08, -1.7241E-02, -4.344E-02
-9.44083E-08, -1.7262E-02, -4.355E-02
-9.43958E-08, -1.7278E-02, -4.355E-02
-9.43833E-08, -1.7299E-02, -4.370E-02
-9.43708E-08, -1.7320E-02, -4.365E-02
-9.43583E-08, -1.7346E-02, -4.381E-02
-9.43458E-08, -1.7352E-02, -4.397E-02
-9.43333E-08, -1.7367E-02, -4.402E-02
-9.43208E-08, -1.7373E-02, -4.407E-02
-9.43083E-08, -1.7378E-02, -4.423E-02
-9.42958E-08, -1.7383E-02, -4.439E-02
-9.42833E-08, -1.7389E-02, -4.450E-02
-9.42708E-08, -1.7394E-02, -4.460E-02
-9.42583E-08, -1.7389E-02, -4.471E-02
-9.42458E-08, -1.7383E-02, -4.486E-02
-9.42333E-08, -1.7373E-02, -4.502E-02
-9.42208E-08, -1.7357E-02, -4.513E-02
-9.42083E-08, -1.7346E-02, -4.523E-02
-9.41958E-08, -1.7336E-02, -4.523E-02
-9.41833E-08, -1.7325E-02, -4.544E-02
-9.41708E-08, -1.7304E-02, -4.539E-02
-9.41583E-08, -1.7283E-02, -4.550E-02
-9.41458E-08, -1.7267E-02, -4.555E-02
-9.41333E-08, -1.7246E-02, -4.560E-02
-9.41208E-08, -1.7236E-02, -4.565E-02
-9.41083E-08, -1.7215E-02, -4.560E-02
-9.40958E-08, -1.7194E-02, -4.555E-02
-9.40833E-08, -1.7162E-02, -4.555E-02
-9.40708E-08, -1.7162E-02, -4.544E-02
-9.40583E-08, -1.7141E-02, -4.550E-02
-9.40458E-08, -1.7125E-02, -4.534E-02
-9.40333E-08, -1.7120E-02, -4.539E-02
-9.40208E-08, -1.7104E-02, -4.529E-02
-9.40083E-08, -1.7088E-02, -4.518E-02
-9.39958E-08, -1.7078E-02, -4.507E-02
-9.39833E-08, -1.7083E-02, -4.507E-02
-9.39708E-08, -1.7072E-02, -4.497E-02
-9.39583E-08, -1.7067E-02, -4.492E-02
-9.39458E-08, -1.7067E-02, -4.476E-02
-9.39333E-08, -1.7067E-02, -4.481E-02
-9.39208E-08, -1.7062E-02, -4.476E-02
-9.39083E-08, -1.7067E-02, -4.476E-02
-9.38958E-08, -1.7072E-02, -4.465E-02
-9.38833E-08, -1.7067E-02, -4.460E-02
-9.38708E-08, -1.7078E-02, -4.465E-02
-9.38583E-08, -1.7072E-02, -4.471E-02
-9.38458E-08, -1.7072E-02, -4.465E-02
-9.38333E-08, -1.7072E-02, -4.481E-02
-9.38208E-08, -1.7072E-02, -4.481E-02
-9.38083E-08, -1.7078E-02, -4.486E-02
-9.37958E-08, -1.7078E-02, -4.502E-02
-9.37833E-08, -1.7083E-02, -4.513E-02
-9.37708E-08, -1.7072E-02, -4.518E-02
-9.37583E-08, -1.7078E-02, -4.523E-02
-9.37458E-08, -1.7072E-02, -4.544E-02
-9.37333E-08, -1.7062E-02, -4.544E-02
-9.37208E-08, -1.7057E-02, -4.565E-02
-9.37083E-08, -1.7057E-02, -4.581E-02
-9.36958E-08, -1.7041E-02, -4.592E-02
-9.36833E-08, -1.7035E-02, -4.592E-02
-9.36708E-08, -1.7030E-02, -4.613E-02
-9.36583E-08, -1.7014E-02, -4.623E-02
-9.36458E-08, -1.7004E-02, -4.623E-02
-9.36333E-08, -1.7004E-02, -4.639E-02
-9.36208E-08, -1.6988E-02, -4.644E-02
-9.36083E-08, -1.6972E-02, -4.644E-02
-9.35958E-08, -1.6972E-02, -4.655E-02
-9.35833E-08, -1.6972E-02, -4.655E-02
-9.35708E-08, -1.6956E-02, -4.660E-02
-9.35583E-08, -1.6956E-02, -4.671E-02
-9.35458E-08, -1.6946E-02, -4.655E-02
-9.35333E-08, -1.6941E-02, -4.660E-02
-9.35208E-08, -1.6930E-02, -4.655E-02
-9.35083E-08, -1.6935E-02, -4.639E-02
-9.34958E-08, -1.6935E-02, -4.634E-02
-9.34833E-08, -1.6941E-02, -4.634E-02
-9.34708E-08, -1.6946E-02, -4.618E-02
-9.34583E-08, -1.6935E-02, -4.602E-02
-9.34458E-08, -1.6946E-02, -4.592E-02
-9.34333E-08, -1.6956E-02, -4.581E-02
-9.34208E-08, -1.6946E-02, -4.571E-02
-9.34083E-08, -1.6956E-02, -4.544E-02
-9.33958E-08, -1.6956E-02, -4.529E-02
-9.33833E-08, -1.6967E-02, -4.518E-02
-9.33708E-08, -1.6972E-02, -4.486E-02
-9.33583E-08, -1.6978E-02, -4.471E-02
-9.33458E-08, -1.6983E-02, -4.465E-02
-9.33333E-08, -1.6988E-02, -4.444E-02
-9.33208E-08, -1.6988E-02, -4.428E-02
-9.33083E-08, -1.6999E-02, -4.418E-02
-9.32958E-08, -1.7004E-02, -4.392E-02
-9.32833E-08, -1.7014E-02, -4.381E-02
-9.32708E-08, -1.7020E-02, -4.370E-02
